domain,CA Name,type,Stapled
launchdarkly.com,US | Let's Encrypt | YE2,third,
lencr.org,US | Let's Encrypt | E7,third,
linkedin.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
live.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 16,private,
mail.ru,GR | Hellenic Academic and Research Institutions CA | HARICA DV TLS RSA,third,
media-amazon.com,unknown,unknown,
media.net,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
microsoft.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 16,private,
microsoftonline.com,unknown,unknown,
mikrotik.com,US | DigiCert Inc | DigiCert EV RSA CA G2,third,
miui.com,US | DigiCert Inc | www.digicert.com | RapidSSL TLS RSA CA G1,third,
mozilla.com,US | Google Trust Services | WR3,third,
mozilla.org,US | Google Trust Services | WR3,third,
msedge.net,unknown,unknown,
msftconnecttest.com,US | DigiCert Inc | DigiCert Global G3 TLS ECC SHA384 2020 CA1,third,
msftncsi.com,US | DigiCert Inc | DigiCert Global G3 TLS ECC SHA384 2020 CA1,third,
msn.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 02,private,
mtgglobals.com,US | Amazon | Amazon RSA 2048 M04,third,
mzstatic.com,US | Apple Inc. | Apple Public Server RSA CA 1 - G1,private,
netflix.com,US | DigiCert Inc | DigiCert Global G3 TLS ECC SHA384 2020 CA1,third,
nflximg.com,US | California | Los Gatos | Netflix Internal Services Intermediate Prod CA V10 | Netflix Inc | Platform Security | platformsecurity@netflix.com,unknown,
nflxso.net,unknown,unknown,
nist.gov,US | Let's Encrypt | YE1,third,
nr-data.net,unknown,unknown,
ntp.org,US | Let's Encrypt | YR2,third,
office.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 10,private,
office.net,unknown,unknown,
office365.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 02,private,
one.one,US | Let's Encrypt | YR2,third,
onelink.me,US | Amazon | Amazon RSA 2048 M01,third,
openai.com,US | Google Trust Services | WE1,third,
opera.com,NL | Trust Provider B.V. | Domain Validated SSL | Trust Provider B.V. TLS RSA CA G1,third,
outlook.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
pangle.io,unknown,unknown,
pinterest.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
pki.goog,US | Google Trust Services | WE2,private,
playstation.net,unknown,unknown,
prodregistryv2.org,US | Let's Encrypt | YR1,third,
pubmatic.com,US | Amazon | Amazon RSA 2048 M04,third,
qq.com,"US | DigiCert, Inc. | DigiCert Secure Site OV G2 TLS CN RSA4096 SHA256 2022 CA1",third,
reddit.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
roblox.com,GB | Sectigo Limited | Sectigo Public Server Authentication CA OV R36,third,
roku.com,US | Google Trust Services | WE1,third,
rubiconproject.com,US | Amazon | Amazon RSA 2048 M01,third,
samsung.com,GB | Sectigo Limited | Sectigo Public Server Authentication CA OV R36,third,
samsungcloud.com,GB | Sectigo Limited | Sectigo Public Server Authentication CA OV R36,third,
samsungcloudsolution.com,unknown,unknown,
samsungqbe.com,unknown,unknown,
scorecardresearch.com,GB | Sectigo Limited | Sectigo Public Server Authentication CA DV R36,third,
sentry.io,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
shalltry.com,US | Amazon | Amazon RSA 2048 M01,third,
sharepoint.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 10,private,
shopifysvc.com,unknown,unknown,
skype.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 02,private,
smartadserver.com,US | Google Trust Services | WR3,third,
snapchat.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
spotify.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
static.microsoft,unknown,unknown,
steamserver.net,unknown,unknown,
taboola.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
telegram.org,"US | Arizona | Scottsdale | GoDaddy.com, Inc. | http://certs.godaddy.com/repository/ | Go Daddy Secure Certificate Authority - G2",third,
tiktok.com,US | DigiCert Inc | www.digicert.com | RapidSSL TLS ECC CA G1,third,
tiktokcdn-eu.com,unknown,unknown,
tiktokcdn-us.com,unknown,unknown,
tiktokcdn.com,unknown,unknown,
tiktokv.com,US | DigiCert Inc | www.digicert.com | RapidSSL TLS ECC CA G1,third,
tiktokv.eu,unknown,unknown,
tiktokv.us,unknown,unknown,
tm-azurefd.net,unknown,unknown,
tp-link.com,US | Amazon | Amazon RSA 2048 M01,third,
trafficmanager.net,unknown,unknown,
ttdns2.com,unknown,unknown,
twitter.com,US | Let's Encrypt | E8,third,
ubuntu.com,US | Let's Encrypt | R12,third,
ui.com,US | Amazon | Amazon RSA 2048 M04,third,
unity3d.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
vivoglobal.com,"US | DigiCert, Inc. | DigiCert Secure Site OV G2 TLS CN RSA4096 SHA256 2022 CA1",third,
vungle.com,US | Let's Encrypt | E7,third,
weather.com,US | DigiCert Inc | DigiCert Global G3 TLS ECC SHA384 2020 CA1,third,
whatsapp.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
whatsapp.net,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
wikipedia.org,US | Let's Encrypt | YE1,third,
windows.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 04,private,
windows.net,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 02,unknown,
windowsupdate.com,unknown,unknown,
xboxlive.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 02,unknown,
xiaomi.com,US | DigiCert Inc | www.digicert.com | RapidSSL TLS RSA CA G1,third,
yahoo.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
yandex.net,BE | GlobalSign nv-sa | GlobalSign ECC OV SSL CA 2018,third,
yandex.ru,BE | GlobalSign nv-sa | GlobalSign ECC OV SSL CA 2018,third,
youtube.com,US | Google Trust Services | WE2,private,
ytimg.com,unknown,unknown,
zoom.us,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
